,Unnamed: 0,index,ticket_id,type,organization,comment,photo,photo_after,coords,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity,Pass
11,11,136,2021-4A37ZV,{ท่อระบายน้ำ},,ฝาท่อระบายน้ำพัง บริเวณหน้าบริษัทท่าอากาศยานไทยครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2021-12/387c9b0a54dc5996f505c408032be4574a13bdeb.jpg,,"100.60439,13.92667",159 ถนน วิภาวดีรังสิต แขวง สนามบิน เขตดอนเมือง กรุงเทพมหานคร 10210 ประเทศไทย,สีกัน,ดอนเมือง,กรุงเทพมหานคร,2021-12-20 23:55:08.524713+00,กำลังดำเนินการ,,0,2022-02-22 04:23:27.295718+00,1.0
19,19,217,2022-F9N2ZF,{ท่อระบายน้ำ},,ฝาท่อผุ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/86917b091871f6b3b71ffaa815d02c414b7b5e0a.jpg,,"100.53200,13.75288",89/79 ถนน เพชรบุรี แขวง ถนนเพชรบุรี เขตราชเทวี กรุงเทพมหานคร 10400 ประเทศไทย,ถนนเพชรบุรี,ราชเทวี,กรุงเทพมหานคร,2022-01-15 07:01:38.381041+00,กำลังดำเนินการ,,0,2022-02-22 04:19:22.234507+00,1.0
26,26,485,2022-FWRZ7B,"{ท่อระบายน้ำ,ถนน}",,เหตุเกิดในซอยพหลโยธิน 24 พบฝาท่อบนถนนชำรุดเป็นรูใหญ่ ลักษณะขาดการบำรุงรักษามานาน อาจเป็นอันตรายกับคนเดินเท้า หรือคนที่ปั่นจักรยานได้ โดยเฉพาะเวลากลางคืน,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-02/c333c276657fbeb86627e0be7792c4fe1d86e4dc.jpg,,"100.56970,13.82212",316 ซอย พหลโยธิน 24 แยก 6-1 แขวง จอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,จอมพล,จตุจักร,กรุงเทพมหานคร,2022-02-26 05:11:46.61888+00,กำลังดำเนินการ,,0,2022-03-15 17:09:43.169668+00,1.0
35,35,1002,2022-7PGZH8,{ท่อระบายน้ำ},"เขตราษฎร์บูรณะ,สำนักการโยธา กทม.,ผอ.เขตราษฎร์บูรณะ (นายดลจิตร์),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)",ทำฟุทบาทไหม่แต่ไม่ทำฝาท่อ เดินสดุดล้มกันทุกวันครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/5d1888f0b6665c4047f776f1f2ae8568bd751989.jpg,,"100.50413,13.66566",440/23 ถ. ประชาอุทิศ แขวง ราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพมหานคร 10140 ประเทศไทย,บางปะกอก,ราษฎร์บูรณะ,กรุงเทพมหานคร,2022-05-29 10:35:27.878169+00,เสร็จสิ้น,,0,2022-07-06 06:55:59.277771+00,1.0
37,37,1048,2022-K6D7AF,{ท่อระบายน้ำ},"เขตลาดกระบัง,ผอ.เขตลาดกระบัง (นายธนะสิทธิ์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",ปัญหามีหลุมที่เสี่ยงต่อคนเดินตกท่อไม่มีฝาปิดที่มิดชิด,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/2b376d728d1d61f6c87ac2b619c2ccafccc0629c.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/b7cbd24ddc67dec133df9155687411d0a7adc5ab.jpg,"100.71907,13.76791",6/2 ถนน เคหะร่มเกล้า แขวง คลองสองต้นนุ่น เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย,คลองสองต้นนุ่น,ลาดกระบัง,กรุงเทพมหานคร,2022-05-29 11:07:34.615412+00,เสร็จสิ้น,,0,2022-10-25 07:56:59.939522+00,1.0
44,44,1170,2022-C2CQQN,"{ท่อระบายน้ำ,ถนน}","เขตวังทองหลาง,ฝ่ายโยธา เขตวังทองหลาง,ผอ.เขตวังทองหลาง (นายโครงการ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",ถนนอินทราภรณ์ มุ่งหน้า รร บดินทรเดชา ผิวถนนไม่เรียบ มีการเทยางมะตอยไว้แค่เลนเดียว และไม่ปรับผิวตรงบริเวณรอบฝาบ่อท่อระบายน้ำที่อยู่กลางถนน อยากให้ทางเขตเข้ามาแก้ไขครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/41b7038f1503ded050f769af4d313157876206f9.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-07/1688457182011.jpeg,"100.61334,13.77221",337 ถ. อินทราภรณ์ แขวง พลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10312 ประเทศไทย,พลับพลา,วังทองหลาง,กรุงเทพมหานคร,2022-05-29 12:12:02.017004+00,เสร็จสิ้น,2.0,0,2023-07-04 07:53:04.094083+00,1.0
59,59,2262,2022-3YWMH6,{ท่อระบายน้ำ},"เขตวังทองหลาง,ฝ่ายโยธา เขตวังทองหลาง,ผอ.เขตวังทองหลาง (นายโครงการ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",แจ้งเรื่องปัญหาฝาท่อระบายน้ำชำรุด เกิดเป็นหลุม มีทั้งหมด 2 จุดในพื้นที่ซอยลาดพร้าว 80 แยก 16 เขตวังทองหลาง แขวงวังทองหลางค่ะ รถที่สัญจรผ่านไปมาต้องคอยระวัง เพราะมีจุดนึงฝาท่อหลุดออกเป็นหลุมใหญ่ อยากให้ทางเขตเข้ามาแก้ไขค่ะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/b6e285e46f4ba0596662feb8958a4f831f2b68c1.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/4dabb0d1875619d1b328715b1f949e716e88b860.jpg,"100.60386,13.78431",10 ซอย ลาดพร้าว 80 แยก 16 แขวง วังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310 ประเทศไทย,วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,2022-05-31 05:43:48.781285+00,เสร็จสิ้น,5.0,0,2023-06-26 11:12:24.788598+00,1.0
70,70,3173,2022-KR6VVH,"{ท่อระบายน้ำ,ถนน}","เขตหนองแขม,ผอ.เขตหนองแขม (นางมณีวรรณ),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)",ถนนทางเข้าหมู่บ้านเอื้ออาทรเพชรเกษม 81 ซ.ไชยสิทธิ์ 2 ถนนตรงท่อระบายน้ำทรุดเป็นหลุม เคยมีรถตกหลุม ชาวบ้านเลยเอาหินมาทับและเอาไม้มาปักไว้เพื่อเตือนให้คนหลบ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/c01cf2ea30f99d2cac33121eeca83245ac298dc4.jpg,,"100.33623,13.68021",15 ถนน เลียบคลองภาษีเจริญฝั่งเหนือ 34 แขวง หนองแขม เขตหนองแขม กรุงเทพมหานคร 10160 ประเทศไทย,หนองแขม,หนองแขม,กรุงเทพมหานคร,2022-06-01 07:03:06.414671+00,เสร็จสิ้น,3.0,0,2022-06-13 10:41:05.629642+00,1.0
132,132,5851,2022-97KYT3,"{ถนน,ท่อระบายน้ำ}","เขตจอมทอง,ฝ่ายโยธา เขตจอมทอง,กรมทางหลวง,ผอ.เขตจอมทอง (นายณัฐพงษ์),กลุ่มกรุงธนเหนือ (นายเฉลิมพล โชตินุชิต)",ท่อระบายน้ำ บนถนนพระราม 2 ช่วง กทม. มีการถมหน้าตะแกรงระบายน้ำด้วยยางมะตอย ในหลายนำแหน่งมีการถมปิด 100% และส่วนมากถมปิดที่ 90% เมื่อรถยนต์บดทับ จะทำให้ยางมะตอยหลุดลงไปอุดตันทางระบายน้ำ และการราดยางมะตอยในระหว่างการก่อสร้างทางยกระดับ และยังไม่ได้ทำการปรับปรุงทางเดิน ทั้ง ๆ ที่มีการกำหนดระยะขอบถนนใหม่ ดูเป็นส่อทุจริตหรือเปล่า ? จะทำกันกี่รอบ ต้องใช้งบประมาณกี่มากน้อย ?,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/31a69b1103c93969eb00a2f554c019b854924e39.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/6030d63ec646528102ae41452fef04bda95678c3.jpg,"100.45980,13.67519",สมาคมฮินแหน่นแห่งประเทศไทย แขวง บางมด เขตจอมทอง กรุงเทพมหานคร 10150 ประเทศไทย,บางมด,จอมทอง,กรุงเทพมหานคร,2022-06-03 14:22:15.94835+00,เสร็จสิ้น,5.0,0,2022-06-29 08:41:56.767052+00,1.0
135,135,6072,2022-9L8EA7,{ท่อระบายน้ำ},"เขตวังทองหลาง,สำนักการโยธา กทม.,กองแผนงานและประสานสาธารณูปโภค สำนักการโยธา (กผภ.สนย.) กทม.,การไฟฟ้านครหลวง MEA,การไฟฟ้านครหลวง เขตนวลจันทร์",ฝาท่อไม่เสมอผิวถนน,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/cac1d2c2c68bfa33366b1beb0b248556cfa0e3a0.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-03/1678795927795.jpeg,"100.59983,13.79137",118/6 ถ. ลาดพร้าว แขวง วังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310 ประเทศไทย,วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,2022-06-04 00:48:11.301409+00,เสร็จสิ้น,,0,2023-03-14 12:12:10.466602+00,1.0
161,161,7074,2022-9VQVPN,"{ท่อระบายน้ำ,คลอง}","เขตมีนบุรี,ผอ.เขตมีนบุรี (นายศักดิ์ชัย),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",บ้านที่ปล่อยน้ำ มีบ่อพักน้ำอยู่ข้างบ้าน เป็นบ้านหลังท้ายซอยของหมู่บ้านอัญชลี ซอยเสรีไทย 95. ค่ะ ส่งกลิ่นเหม็นตลอดเวลา และมีท่อปล่อยน้ำดำลงบ่อของสวนด้วยค่ะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/7d1e15fa7949a9aa767f2edd356820c72f775ad2.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/a8dda9d6bc48f252d9c3d541860acf0af90ed024.jpg,"100.70705,13.81254",44/10 ซอย รามอินทรา 84 มีนบุรี กรุงเทพมหานคร 10510 ประเทศไทย,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,2022-06-05 01:20:34.888201+00,เสร็จสิ้น,,0,2022-06-10 09:16:32.805669+00,1.0
180,180,7630,2022-3N3F2F,"{ทางเท้า,ท่อระบายน้ำ}","เขตจตุจักร,ผอ.เขตจตุจักร (นางสาวภัทร์กร),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",ฟุตบาทเป็นหลุมขนาดใหญ่ มีน้ำขัง ไม่สามารถระบายน้ำลงท่อระบายน้ำได้,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/6784836e0adae2136591767ccdc6df2a1451e4bf.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/5d01fee7de65089cb7a3b31c67ea779843754d47.jpg,"100.56047,13.81308",12 4 ถ. ลาดพร้าว แขวง จอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,จตุจักร,จตุจักร,กรุงเทพมหานคร,2022-06-05 08:33:31.014061+00,เสร็จสิ้น,4.0,0,2023-02-13 10:09:38.543034+00,1.0
182,182,7678,2022-9TK33L,{ท่อระบายน้ำ},"เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)","ขอแจ้งเรื่อง ท่อระบายน้ำผุพัง ในพื้นที่เขตบางกะปิ ลาดพร้าว107 หน้าบุญพรัตถ์คอร์ท 148  ทางข้ามไป109  ทำให้เด็กอายุ10-11ขวบตกลงไปได้รับบาดเจ็บตรงขาขวา  เป็นแผลขนาดถึงขั้นต้องเย็บ  อาจจะไม่ได้ร้ายแรงถึงขั้นชีวิตแต่ทำให้สภาพร่างกายจิตของเด็กได้รับความเสียหาย แผลหลังการรักษารอยแผลที่จะติดตัวเด็กไปตลอดชีวิต  ความเสียหายต่อจากนี้ใครจะรับผิดชอบ ความปลอดภัยของปชช. ในเขตชุมชน เรื่องนี้ถึงคนที่ดูแลในพื้นแล้วเขาได้มาดูเด็กแล้วแต่ลายละเอียดหลังจากนี้เป็นแบบไหนทางเราไม่ทราบได้บอกจะมาเยี่ยมตัวน้องและจะติดต่อมากหรือยังไงอันนี้เราไม่ทราบ ขอแจ้งให้มาแก้ไขปัญหาโดนเร็วเรื่องฝาท่อที่ชำรุด เหตุเกิด02/06/65 
ชื่อ ศักดิ์ติกาล อินทรสงเคราะห์  (น้องผู้เสียหาย) 
คนแจ้งคือพี่สาว",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/4ebc9239b7de603b82fd839912593413f4a1dd34.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/7764339ae73cc2800f5ff7592a110389c576591d.jpg,"100.63420,13.77648",150 ซอย ลาดพร้าว 107 แขวง คลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,คลองจั่น,บางกะปิ,กรุงเทพมหานคร,2022-06-05 08:57:34.656306+00,เสร็จสิ้น,,0,2022-06-06 14:50:34.095602+00,1.0
209,209,8377,2022-7YN6PP,{ท่อระบายน้ำ},"เขตบางเขน,การทางพิเศษแห่งประเทศไทย",คอนกรีดฝาท่อปิดไม่สนิท,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/ec1aacb87819229fb6e8ffe5dfab00c832319a47.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/f3c6c564d3c19317aee8a213ad278a0079364d28.jpg,"100.63952,13.85058",550 ถ. รามอินทรา แขวง ท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย,ท่าแร้ง,บางเขน,กรุงเทพมหานคร,2022-06-05 13:01:56.215335+00,กำลังดำเนินการ,,0,2022-06-13 00:30:04.560553+00,1.0
251,251,9988,2022-6R83FF,"{ท่อระบายน้ำ,ถนน}","เขตจตุจักร,ผอ.เขตจตุจักร (นางสาวภัทร์กร),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)","ปัญหาเรื่อง ฝาท่อไม่เสมอกับถนน 
สถานที่ ลาดพร้าวซอย 15 แยก 1-10 หน้าคอนโด Atmoz15",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/7c9ece1feb2b6271265b0c01bdeb7fe1f8b5274a.jpg,,"100.57008,13.81431",477 ซอย ลาดพร้าว 15 แยก 1-10 แขวง จอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,จอมพล,จตุจักร,กรุงเทพมหานคร,2022-06-06 09:48:59.230365+00,เสร็จสิ้น,,0,2023-02-13 09:45:31.176984+00,1.0
274,274,11078,2022-KVHUAQ,"{คลอง,ถนน,ท่อระบายน้ำ}","เขตหนองแขม,ผอ.เขตหนองแขม (นางมณีวรรณ),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)",จากหมู่บ้านพี.เอส.วิลล่า ซ.เลียบคลองภาษีเจริญฝั่งใต้ 5/1 เขตหนองแขมค่ะ ท่อระบายน้ำและคลองที่จะรับน้ำของหมู่บ้านมีปัญหาค่ะ เนื่องจากเป็นหมู่บ้านเก่า และมีถนนเมนสร้างยกสูง ทำให้พื้นที่หมู่บ้านต่ำ ฝนตกหนักนิดเดียว น้ำก็ท่วมหมู่บ้าน ต้องคอยสูบน้ำออกไปทางหลังหมู่บ้าน ซึ่งเป็นที่สวนของชาวบ้านแถวนั้นที่เค้าปลูกจำปี วันดีคืนดีเค้าไม่พอใจ ปิดฝาท่อ ไม่ให้ระบายน้ำ น้ำก็ท่วมขังเน่าเหม็นค่ะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/946d25ff6db48b7a0aa4c953a133c8dc07d0e1c3.jpg,,"100.36065,13.67701",111/263 ซอย หมู่บ้านพีเอสวิลล่า แขวง หนองแขม เขตหนองแขม กรุงเทพมหานคร 10160 ประเทศไทย,หนองแขม,หนองแขม,กรุงเทพมหานคร,2022-06-06 22:36:00.603733+00,เสร็จสิ้น,4.0,0,2022-06-07 07:17:24.26069+00,1.0
275,275,11082,2022-LQHKWX,{ท่อระบายน้ำ},"สำนักการประปา,เขตบางขุนเทียน",ซ่อมท่อน้ำใต้พื้นที่รั่วไหลไม่หยุด..ทำให้น้ำจ่ายภายในซอยไหลค่อยลง,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/6519d6492df03fee48e649418c425be7d6f0ae8e.jpg,,"100.44269,13.65824",85 ซอย ท่าข้าม 3 แขวง แสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,2022-06-06 22:47:23.146417+00,รอรับเรื่อง,,0,2022-06-28 08:11:58.612024+00,1.0
348,348,13616,2022-NXZBBX,{ท่อระบายน้ำ},"เขตบางคอแหลม,ฝ่ายโยธา เขตบางคอแหลม,ผอ.เขตบางคอแหลม (นางวาสนา),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",1 ฝาท่อแตกเสียหาย เสี่ยงต่อคนเดินตกและอุบัติเหตุ เนืาองจากอยู่บริเวณหน้าปากซอย และหน้าร้านกาแฟ TANGIBLE ที่มีคนมาใช้บริการจำนวนมาก,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/70c3425732b56c0318d0e3fe5413168a86c6e9e2.jpg,,"100.49908,13.69912",2350/1 ถ. เจริญกรุง แขวง บางคอแหลม เขตบางคอแหลม กรุงเทพมหานคร 10120 ประเทศไทย,บางคอแหลม,บางคอแหลม,กรุงเทพมหานคร,2022-06-08 02:58:23.687874+00,เสร็จสิ้น,3.0,0,2022-06-09 11:29:02.826421+00,1.0
361,361,14198,2022-UWTA7L,"{ท่อระบายน้ำ,ความปลอดภัย}","กองระบบท่อระบายน้ำ สำนักการระบายน้ำ,เขตวัฒนา,สำนักการระบายน้ำ กทม.",1.แจ้งฝาปิดท่อระบายน้ำ ใช้แผ่นเหล็กปิด ไม่ปลอดภัย นานมากแล้วไม่มีใครดูแล,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/1adb2080a22445237d3b9802607cafff612018fe.jpg,,"100.58644,13.73083",145 สุขุมวิท ซ. 63 แขวง คลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,2022-06-08 08:39:48.244856+00,กำลังดำเนินการ,,0,2023-06-01 18:11:52.106841+00,1.0
369,369,14476,2022-DWHCHU,"{ทางเท้า,ท่อระบายน้ำ}","เขตราชเทวี,ฝ่ายโยธา เขตราชเทวี,ศูนย์ก่อสร้างและบูรณะถนน 3 ส่วนก่อสร้างและบูรณะ 2 สำนักงานก่อสร้างและบูรณะ (สกบ.สนย.),สำนักการโยธา กทม.,ผอ.เขตราชเทวี (นายกรณิศ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",สวัสดีครับ ผมขอแจ้ง ฟุตบาทฝังเกาะราชวิถี ฝาท่อระบายน้ำชำรุด กรุณาช่วยแก้ไขด้วยนะครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/8304df67acf88b001f908b953c34f782108476c2.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-02/1675384199085.jpeg,"100.53750,13.76458",SD 20 ถ. พญาไท แขวง ทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร 10400 ประเทศไทย,ทุ่งพญาไท,ราชเทวี,กรุงเทพมหานคร,2022-06-08 10:17:15.210452+00,เสร็จสิ้น,,0,2023-06-16 00:45:49.436775+00,1.0
401,401,15453,2022-6T7MPM,"{ถนน,ท่อระบายน้ำ}","สำนักงานพัฒนาระบบระบายน้ำ สำนักการระบายน้ำ,กองระบบท่อระบายน้ำ สำนักการระบายน้ำ,สำนักการระบายน้ำ กทม.,เขตจตุจักร,กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ),ผอ.เขตจตุจักร (นางสาวภัทร์กร),สำนักการโยธา กทม.",ฝาท่อถนนไม่เรียบ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/b829fa7a4a9702e57fb7a83fd8038a4fe873e3a3.jpg,,"100.55159,13.79904",288 ถ. พหลโยธิน แขวง จตุจักร แขวง ลาดยาว เขต จตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,จตุจักร,จตุจักร,กรุงเทพมหานคร,2022-06-08 16:14:53.169434+00,เสร็จสิ้น,,0,2022-08-11 03:33:48.71355+00,1.0
432,432,16289,2022-GBFW9W,{ท่อระบายน้ำ},"เขตบางพลัด,สำนักการระบายน้ำ กทม.,ผอ.เขตบางพลัด (น.ส.อารียา),กลุ่มกรุงธนเหนือ (นายเฉลิมพล โชตินุชิต)",ฝาท่อชำรุดแตกหัก,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/af222588dd4be4372b3792ae2b3cc89e5a09ae10.jpg,,"100.50896,13.79804",99 ถ. จรัญสนิทวงศ์ แขวง บางอ้อ เขตบางพลัด กรุงเทพมหานคร 10700 ประเทศไทย,บางอ้อ,บางพลัด,กรุงเทพมหานคร,2022-06-09 06:00:39.200415+00,เสร็จสิ้น,5.0,0,2022-07-03 12:12:22.522394+00,1.0
433,433,16299,2022-AXNFKE,"{ท่อระบายน้ำ,ถนน}","เขตบางกอกน้อย,ฝ่ายโยธา เขตบางกอกน้อย,ผอ.เขตบางกอกน้อย (ดร.วรชล),กลุ่มกรุงธนเหนือ (นายเฉลิมพล โชตินุชิต),สำนักการโยธา กทม.",แจ้งเรื่องฝาท่อถนนค่ะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/bbf657dc41ac710f4070997afdef1aa7e13ccf89.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/87dcc5ccebe74504a632c0406f00eea9f49b4a0b.jpg,"100.47321,13.76232",771/1 ซอย วัดสุทธาวาส แขวง บ้านช่างหล่อ เขตบางกอกน้อย กรุงเทพมหานคร 10700 ประเทศไทย,บ้านช่างหล่อ,บางกอกน้อย,กรุงเทพมหานคร,2022-06-09 06:10:54.493944+00,เสร็จสิ้น,,0,2022-12-09 08:53:21.039276+00,1.0
435,435,16324,2022-6MTEB9,{ท่อระบายน้ำ},"เขตสาทร,ฝ่ายโยธา เขตสาทร,สำนักการระบายน้ำ กทม.,ผอ.เขตสาทร (นายชาติชาย),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",ขอให้มาปิดฝาท่อด้วยค่ะ เหม็นมาก,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/27c6657782597e7534dcd74b9571fa2ad4a048cd.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/df62d820128da261112109f738b5cba6366faa7b.jpg,"100.51936,13.70953",108/3 ถนนจันทน์ แขวง ทุ่งวัดดอน เขต สาทร กรุงเทพมหานคร 10120 ประเทศไทย,ทุ่งวัดดอน,สาทร,กรุงเทพมหานคร,2022-06-09 06:18:25.336917+00,เสร็จสิ้น,5.0,0,2022-06-13 04:02:28.31401+00,1.0
436,436,16327,2022-F9WDUX,{ท่อระบายน้ำ},"กองระบบท่อระบายน้ำ สำนักการระบายน้ำ,เขตสวนหลวง,ฝ่ายโยธา เขตสวนหลวง,สำนักการระบายน้ำ กทม.,ผอ.เขตสวนหลวง (นายบัญชา),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",ฝาท่อปิดไม่สนิด,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/d9e640fc2bb99a8c9eff2c4df58e41c771f0188a.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/2121a58d2fc8cd0439f2147695e749f9f50e5639.jpg,"100.63231,13.74222",พระราม 9 ซอย 60 แขวง สวนหลวง แขวงสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,2022-06-09 06:20:53.530417+00,เสร็จสิ้น,,0,2023-02-07 03:19:51.416815+00,1.0
443,443,16511,2022-BMUVWT,{ท่อระบายน้ำ},"เขตบางกอกน้อย,ผอ.เขตบางกอกน้อย (ดร.วรชล),กลุ่มกรุงธนเหนือ (นายเฉลิมพล โชตินุชิต),ฝ่ายโยธา เขตบางกอกน้อย",ฝาท่อระบายน้ำบนถนนซอยจรัญ 35 หน้าศรีประชุมแมนชั่น ชำรุดจนเห็นโครงเหล็ก เป็นอันตรายแก่ผู้ขับขี่รถสัญจรไปมา,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/3d7d843a1563da1c0031d61662bb60f0d53e2243.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-01/a57aa7fae2c0738dfdb1db2e96c55792a3e65912.jpg,"100.46196,13.75809",269/280 ซอย จรัญสนิทวงศ์ 35 แขวง บางขุนศรี เขตบางกอกน้อย กรุงเทพมหานคร 10700 ประเทศไทย,บางขุนศรี,บางกอกน้อย,กรุงเทพมหานคร,2022-06-09 08:13:18.547621+00,เสร็จสิ้น,5.0,0,2023-01-03 04:46:22.679811+00,1.0
474,474,17291,2022-3DYBKE,"{ท่อระบายน้ำ,ถนน,ความสะอาด}","เขตป้อมปราบศัตรูพ่าย,ฝ่ายโยธา เขตป้อมปราบศัตรูพ่าย,ผอ.เขตป้อมปราบศัตรูพ่าย (นายพงษ์จักรินทร์),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)","1.ฝาท่อระบายน้ำแตกร้าว ซึ่งเกิดจากการงัดเปิดฝาท่อเพื่อทำการลอกท่อของกทม. 
ฝาท่อแตกร้าว ไม่มีการซ่อมแซมให้เหมือนเดิม เป็นเวลาเกือบ2ปี เกรงว่านานไปรอดร้าวนี้จะมากขึ้น และจะทำให้คนที่เดินเหยียบเกิดอุบัติเหตุได้
        2.ตะแกรงกันขยะไหลลง
ท่อระบายนำ้บนถนน หลุดหายตอนทำถนน ไม่มีการซ่อมแซมให้เหมือนเดิม ทำให้ถุงพลาสติก และขยะต่างๆไหลลงไปในท่อระบายน้ำ ซึ่งอาจจะทำให้อุดตัน",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/07153525ebff622a6bb8c7f1b4c14c61ed9a7f67.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/9a554597f73ffaec5fd75c2e6c7973901ef84c22.png,"100.50991,13.74939",1 ซอย สวนมะลิ 1 แขวง วัดเทพศิรินทร์ เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100 ประเทศไทย,วัดเทพศิรินทร์,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,2022-06-09 12:20:01.192608+00,เสร็จสิ้น,,0,2022-06-14 10:22:11.124766+00,1.0
