,Unnamed: 0,index,ticket_id,type,organization,comment,photo,photo_after,coords,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity,Pass
1889,1889,66584,2022-BL8D69,"{ท่อระบายน้ำ,ถนน,ความปลอดภัย}","ฝ่ายควบคุมการส่งและจ่ายน้ำ ฝคจ. การประปานครหลวง,สำนักการโยธา กทม.,การประปานครหลวง กปน. (Metropolitan Waterworks Authority - MWA),เขตยานนาวา,ผอ.เขตยานนาวา (น.ส.วรุณลักษม์),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร),สำนักงานประปาสาขาทุ่งมหาเมฆ สสท.",แจ้งเรื่องพื้นถนนไม่เรียบ และฝาท่อผุพังครับ ฝาท่อกลมเป็นหลุมไม่เรียบเสมอกับพื้นถนน มอเตอร์ไซด์ขับมาเสี่ยงอุบัติเหตุอันตรายมากครับ ด้านข้าง ฝาท่อเหล็กก็ผุพัง บริเวณถนนพระราม 3 ใต้สะพานแขวนมุ่งหน้าไปเซ็นทรัลพระราม 3 ก่อนถึงซอยประดู่ 1,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-07/7930622fd9939a75bfd37d7c2894b71ce3beee4c.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-02/1675654913680.jpeg,"100.52110,13.68724",1000/47 Bangklo Bangkholaem แขวง บางโคล่ เขตบางคอแหลม กรุงเทพมหานคร 10120 ประเทศไทย,บางโพงพาง,ยานนาวา,กรุงเทพมหานคร,2022-07-02 01:57:30.831715+00,เสร็จสิ้น,,0,2023-02-06 03:41:54.71375+00,1.0
1905,1905,67062,2022-MEEFKU,{ท่อระบายน้ำ},"กองระบบท่อระบายน้ำ สำนักการระบายน้ำ,เขตพระโขนง,สำนักการโยธา กทม.,สำนักการระบายน้ำ กทม.","ต้องการแจ้งเรื่องฝาท่อน้ำค่ะ ในซอยสุขุมวิท 101/1  ช่วงประมาณซอย วชิธรรมสาธิต 44 หน้าปั้มน้ำมัน PTT ฝั่งปั้ม
ฝาท่อชำรุดและแตก รถมอไซต์ขับผ่าน เกรงว่าจะตกลงไป",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-07/a6a5b507aace3a391d7c97d2d445b33d4a3626ef.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-01/1704779184084.jpeg,"100.62795,13.68502",629 1 ถนน สุขุมวิท 101/1 แขวง บางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,บางจาก,พระโขนง,กรุงเทพมหานคร,2022-07-02 06:37:24.720756+00,เสร็จสิ้น,,0,2024-01-09 05:46:25.548357+00,1.0
1906,1906,67083,2022-H6HA2Q,"{ท่อระบายน้ำ,ถนน,จราจร}","เขตวังทองหลาง,ฝ่ายโยธา เขตวังทองหลาง,ผอ.เขตวังทองหลาง (นายโครงการ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",ระดับถนนกับฝาท่อระบายนำ้ไม่เท่ากันตลอดแนวถนนทำให้เกิดการชลอตัวของและรถติดในตอนเย็น,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-07/6d0530dd9f89de0ab9689443b9bced324d929190.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-02/1675763964164.jpeg,"100.61335,13.77222",333/3 ถ. อินทราภรณ์ แขวง พลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10312 ประเทศไทย,พลับพลา,วังทองหลาง,กรุงเทพมหานคร,2022-07-02 06:51:36.188616+00,เสร็จสิ้น,,0,2023-02-07 09:59:26.194105+00,1.0
1914,1914,67275,2022-8X8CRR,"{ท่อระบายน้ำ,ถนน}","เขตดุสิต,ฝ่ายโยธา เขตดุสิต,ผอ.เขตดุสิต (น.ส.รุจิรา),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)","ถนนเศรษฐศิริ แขวงถนนนครไชยศรี เขตดุสิต
ถนนเส้นนี้ฝั่งนึงจะมีฝาท่อค่ะ  แล้วมันเป็นหลุมต่างระดับกับพื้นถนน เวลาจะขับผ่านก็ต้องหลบ เพราะฝาท่อถี่มาก รถเล็กขับไม่ได้ รถใหญ่ก็ยังต้องหลบมากลางเลน 
สามารถปรับระดับให้มันเท่ากันได้ไหมคะ",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-07/28b80e8d12f00c3dbfc223eda3dd6c964c16ca5c.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-07/b03c73412e83c5f7133f4168187a3647d2bade0c.jpg,"100.52831,13.78221",52 ถนน เศรษฐศิริ แขวง ถนนนครไชยศรี เขตดุสิต กรุงเทพมหานคร 10300 ประเทศไทย,ถนนนครไชยศรี,ดุสิต,กรุงเทพมหานคร,2022-07-02 08:37:52.793557+00,เสร็จสิ้น,,0,2022-07-04 12:50:44.451925+00,1.0
1915,1915,67285,2022-9WP9CF,{ท่อระบายน้ำ},"เขตบึงกุ่ม,ฝ่ายโยธา เขตบึงกุ่ม,ผอ.เขตบึงกุ่ม (นายสมพร),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",ท่อพังมานานแล้วค่ะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-07/9a822848741c2d84d46e1ee2247a6aa3afbbf851.jpg,,"100.65222,13.81187",7088 ซอย นวมินทร์ 70 แขวง นวมินทร์ เขต บึงกุ่ม กรุงเทพมหานคร 10240 ประเทศไทย,คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,2022-07-02 08:41:25.259955+00,เสร็จสิ้น,4.0,0,2022-07-04 13:06:20.506871+00,1.0
1938,1938,68215,2022-8L4PAF,"{ท่อระบายน้ำ,ความปลอดภัย,ถนน}","สำนักการระบายน้ำ กทม.,เขตปทุมวัน,ผอ.เขตปทุมวัน (น.ส.สุขวิชญาณ์),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",เรื่องที่ต้องการแจ้ง คือฝาท่อระบายบริเวณซอยบ่อนไก่ เข้าทางถนนพระราม4 มีฝาท่อระบายน้ำชำรุด เป็นเวลานานมาก เวลาขับขี่ด้วยรถมอเตอร์ไซค์ อันตรายมากค่ะ ฝาท่อเป็นหลุม บางทีก็ใช้แผ่นเหล็กมาปิดไว้ อยากได้รับการแก้ไขเรื่องนี้ เพื่อความปลอดภัยในการขับขี่และคนเดินเท้าค่ะ ขอบคุณค่ะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-07/1f0cd9bc0ca635d4acda93a98f222ae25ae8b3bd.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/c187581e8373f164eca66f2d336eee5c5993885f.jpg,"100.54966,13.72438",1931 ถนนพระรามที่ ๔ แขวง ลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330 ประเทศไทย,ลุมพินี,ปทุมวัน,กรุงเทพมหานคร,2022-07-02 16:48:06.859422+00,เสร็จสิ้น,,0,2022-10-02 03:48:59.512873+00,1.0
1953,1953,68671,2022-ML4N3P,{ท่อระบายน้ำ},"เขตบางกะปิ,ฝ่ายโยธา เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",1.ฝาครอบท่อเป็นแบบทึบ..มีรู ระบายน้ำเล็ก ..แถมรูอุดตัน ..ระบายน้ำได้ช้า ไม่มีรูอื่นให้ระบายน้ำต้องผ่านรูเล็กๆนี้อย่างเดียว ..ควรทำเป็นรูตะแกรงเหล็ก  มีลักษณะฝาแบบนี้อยู่หลายจุดบนซอย ราคำแหง24,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-07/988ee623b4a6361d252884bfc742eb31a4252684.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-07/043facdd2ffc7448575a63cd617c090fe4e96adf.jpg,"100.62629,13.75494",554 รามคำแหง24 แขวง หัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,2022-07-03 04:13:10.324307+00,เสร็จสิ้น,,0,2022-07-03 13:16:04.162806+00,1.0
1960,1960,68766,2022-HVYXU8,"{ถนน,ท่อระบายน้ำ}","เขตบางกะปิ,ฝ่ายโยธา เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",เทถนนทับฝาท่อ รามคำแหง 24,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-07/5eed7eac47f6b2671f24554206e24cb83409eceb.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-07/3c6ce914d4e13b45402c12395e66a53f3e0b8256.jpg,"100.62427,13.75427",8 ซอย รามคำแหง 24 รามคำแหง 24 แยก 24 แขวง หัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,2022-07-03 04:48:37.799747+00,เสร็จสิ้น,,0,2022-07-03 12:58:44.471291+00,1.0
1966,1966,68960,2022-MW7UGL,"{ถนน,ความปลอดภัย,ท่อระบายน้ำ}","กองระบบท่อระบายน้ำ สำนักการระบายน้ำ,กองแผนงานและประสานสาธารณูปโภค สำนักการโยธา (กผภ.สนย.) กทม.,สำนักการโยธา กทม.,เขตบางกอกใหญ่,สำนักการระบายน้ำ กทม.",ฝาท่อบริเวณถนนจรัญสนิทวงศ์ บริเวณป้ายรถเมล์ก่อนถึงซอยจรัญสนิทวงศ์ 1 ฝาท่อไม่เรียบสนิทไปกับถนน กลัวว่ารถที่สัญจรผ่านไปมาจะได้นับอันตราย,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-07/98d39c5045574c772820a153f1592e8a1fff5685.jpg,,"100.47295,13.73157",ซอย จรัญสนิทวงศ์ 1 แขวง วัดท่าพระ เขตบางกอกใหญ่ กรุงเทพมหานคร 10600 ประเทศไทย,วัดท่าพระ,บางกอกใหญ่,กรุงเทพมหานคร,2022-07-03 06:26:53.561267+00,กำลังดำเนินการ,,0,2024-02-07 02:10:11.428454+00,1.0
1972,1972,69011,2022-4AKWDC,{ท่อระบายน้ำ},"เขตคลองเตย,ฝ่ายโยธา เขตคลองเตย,สำนักการระบายน้ำ กทม.,ผอ.เขตคลองเตย (นางเบญญา),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",ฝาท่อไม่เสมอกับพื้นถนน,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-07/0e8609a9082860eeec4728460194fbe61d595cd4.jpg,,"100.56502,13.72553",148/1 ซอย สุขุมวิท 22 แขวง คลองตัน เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย,คลองตัน,คลองเตย,กรุงเทพมหานคร,2022-07-03 06:52:06.999637+00,เสร็จสิ้น,,0,2022-07-08 03:32:38.030858+00,1.0
1973,1973,69012,2022-EGK4Q7,{ท่อระบายน้ำ},"เขตคลองเตย,ฝ่ายโยธา เขตคลองเตย,สำนักการระบายน้ำ กทม.,ผอ.เขตคลองเตย (นางเบญญา),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",ตะแกรงฝาท่อมีร่องไม่เสมอกับพื้นถนน,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-07/9ee27ec24c74b21d27be78ddd1d543c7b56338c5.jpg,,"100.56504,13.72555",148 ซอย สุขุมวิท 22 แขวง คลองตัน เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย,คลองตัน,คลองเตย,กรุงเทพมหานคร,2022-07-03 06:52:56.461243+00,เสร็จสิ้น,,0,2022-07-08 03:23:07.603908+00,1.0
1976,1976,69061,2022-6UTPDD,{ท่อระบายน้ำ},"เขตพระโขนง,ฝ่ายโยธา เขตพระโขนง,ผอ.เขตพระโขนง (น.ส.วรุณลักษม์),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",ฝาท่อชำรุด,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-07/0fb372fc3762e4bb7dc0ae32426be1fa2c85fc10.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-07/05633db8b7986eda56dcb811f5fe0edb1e91c96a.jpg,"100.61544,13.70116",405 ซอย สุขุมวิท 93 แขวง บางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,บางจาก,พระโขนง,กรุงเทพมหานคร,2022-07-03 07:25:17.420185+00,เสร็จสิ้น,,1,2022-07-04 05:42:41.65512+00,1.0
1979,1979,69095,2022-EPBPEG,"{ท่อระบายน้ำ,ถนน}","เขตจตุจักร,สำนักการโยธา กทม.,การไฟฟ้านครหลวง MEA,การไฟฟ้านครหลวง เขตบางเขน",ถนนและฝาท่อชำรุด,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-07/6d632d9e84901cf245757c7cbb9654c1c968a86c.jpg,,"100.57560,13.81568",227 ซ.อาภาภิรมย์ ถ.รัชดาภิเษก เขตจตุจักร กทม. 10900 แขวง จอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,จอมพล,จตุจักร,กรุงเทพมหานคร,2022-07-03 07:42:23.398651+00,กำลังดำเนินการ,,0,2023-04-04 06:51:54.205387+00,1.0
1981,1981,69120,2022-9R8CXY,{ท่อระบายน้ำ},"เขตบางนา,ผอ.เขตบางนา (น.ส.โศรยา),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",ท่อระบายน้ำไม่มีตะแกรงไม่มีกรวยตั้ง แันตรายสำหรับมอไซค์มากๆ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-07/91c17e109b3ca6c2d177e1c6a69677471da1d1d7.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-07/e34faff91a4dc0effba2d2bb6f840edaf463a2e8.jpg,"100.63577,13.67070",16 ซอย บางนา-ตราด 23 แขวง บางนา เขตบางนา กรุงเทพมหานคร 10260 ประเทศไทย,บางนาเหนือ,บางนา,กรุงเทพมหานคร,2022-07-03 07:55:28.654264+00,เสร็จสิ้น,5.0,0,2022-07-03 08:46:35.561015+00,1.0
1984,1984,69148,2022-8EP4VH,"{ถนน,ท่อระบายน้ำ}","กองระบบท่อระบายน้ำ สำนักการระบายน้ำ,ฝ่ายโยธา เขตบางซื่อ,สำนักการโยธา กทม.,เขตบางซื่อ,ผอ.เขตบางซื่อ (นายเจษฎา),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ),สำนักการระบายน้ำ กทม.","ถนนวงศ์สว่าง เขตบางซื่อ ฝั่งป้ายรถเมล์ตรงข้ามวัดเสาหิน พบฝาท่อเป็นจำนวนมาก ผิวจราจรไม่เรียบ/ลื่นนิดหน่อย เป็นอันตรายต่อการขับขี่ ขอให้ตรวจสอบแก้ไขครับ

ปล1.ขอให้แก้ไขให้เรียบตามมาตรฐานวิศวะกรรม ไม่เอายางมะตอยโปะแบบขอไปทีนะครับ
ปล2.ขอให้ประสานทางข้างกับเจ้าภาพให้แก้ไขโดยเร็ว อย่ามัวแต่รอทำหนังสือนำเรียน ความเสี่ยงอุบัติเหตุไม่สามารถรอเวลาได้
ปล.การลักไก่ปิดเรื่องให้จบ ๆ โดยยังแก้ปัญหาไม่เสร็จไม่ช่วยให้ปัญหาจบนะครับ ปชช.สามารถเปิดเคสใหม่ได้เสมอ จะกระทบกับ kpi ของหน่วยงานเอง
ปล3.ขอให้รับเรื่องไปประสานต่อให้เร็วที่สุด เหมือนอย่างมาตรฐานที่เขตดุสิตเขาทำไว้ดีมาก",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-07/fb68ef922fcd46f9acca2e925d683e0b742549f3.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-01/1c979a5279ea62b8592b551643360219faea98ee.jpg,"100.51819,13.81905",87 ถนน วงศ์สว่าง แขวง วงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800 ประเทศไทย,วงศ์สว่าง,บางซื่อ,กรุงเทพมหานคร,2022-07-03 08:12:07.602097+00,เสร็จสิ้น,,0,2023-01-13 04:35:19.68566+00,1.0
